model,split,seconds,state_variable,mae,rmse,r2
LinearRegression,test,0.024715185165405273,mean_flow_pkts_s,4527.123805678037,6987.015102153111,0.4144954201391351
LinearRegression,test,0.024715185165405273,mean_flow_byts_s,51752.17579629765,80164.85284702004,0.024123213143111832
LinearRegression,test,0.024715185165405273,mean_flow_iat_mean,658923.5642704486,1000423.7409366061,0.41718240478550983
LinearRegression,test,0.024715185165405273,mean_flow_iat_std,139912.39269375912,220311.64490287387,-0.19039370814873435
LinearRegression,test,0.024715185165405273,mean_syn_flag_cnt,0.006633666610244594,0.01004584122062435,0.5760115926863301
LinearRegression,test,0.024715185165405273,mean_ack_flag_cnt,0.036041352081025595,0.053789632809035565,0.15091169716141184
LinearRegression,test,0.024715185165405273,mean_rst_flag_cnt,0.04410672832963987,0.06541389808744144,0.01741301803754891
LinearRegression,test,0.024715185165405273,mean_down_up_ratio,0.17018517518972134,0.24784810571760393,-10.57528960909736
RandomForest,validation,0.6052789688110352,number_of_flows,669.799127423697,948.7129261005254,0.8602844421967544
RandomForest,validation,0.6052789688110352,total_packets,65434.49771039619,131498.80813837674,0.08226461736049262
RandomForest,validation,0.6052789688110352,total_bytes,64159647.91291568,136685756.792084,0.003445887093421418
RandomForest,validation,0.6052789688110352,mean_flow_duration,1832048.92028783,2852249.0610655365,0.8201645724284763
RandomForest,validation,0.6052789688110352,mean_flow_pkts_s,6536.9720017576865,10933.607015990769,0.4481223303167152
RandomForest,validation,0.6052789688110352,mean_flow_byts_s,65075.11838583206,106850.1991048032,0.27359573910057655
RandomForest,validation,0.6052789688110352,mean_flow_iat_mean,1113154.4081727217,1811491.7113976832,0.13405664056524302
RandomForest,validation,0.6052789688110352,mean_flow_iat_std,189588.4020267418,287428.58690440294,0.04683472805547828
RandomForest,validation,0.6052789688110352,mean_syn_flag_cnt,0.011263423502211342,0.019773402367114976,0.39636398376525006
RandomForest,validation,0.6052789688110352,mean_ack_flag_cnt,0.04729926531295798,0.0681517052178913,0.23030174367309353
RandomForest,validation,0.6052789688110352,mean_rst_flag_cnt,0.04087270476963568,0.06336586119958032,0.13666820579734262
RandomForest,validation,0.6052789688110352,mean_down_up_ratio,0.09552914946782115,0.15369656337220788,-1.0030638861683534
RandomForest,test,0.6127903461456299,number_of_flows,2503.321204543029,4271.519721813995,-1.6005646432999527
RandomForest,test,0.6127903461456299,total_packets,68323.21061556402,108060.31883739619,-0.23371388267618376
RandomForest,test,0.6127903461456299,total_bytes,57478311.02575143,93593939.14709982,-0.12886417967791464
RandomForest,test,0.6127903461456299,mean_flow_duration,1452672.2211408888,2180594.7263178425,0.8250730391290367
RandomForest,test,0.6127903461456299,mean_flow_pkts_s,4400.891510366848,7551.483948794206,0.3160701800187363
RandomForest,test,0.6127903461456299,mean_flow_byts_s,51523.097560249575,79401.47489864969,0.04262049221366071
RandomForest,test,0.6127903461456299,mean_flow_iat_mean,727865.0400943469,1011705.049775149,0.4039639728287949
RandomForest,test,0.6127903461456299,mean_flow_iat_std,131505.57873339107,197149.8902353225,0.04674564978395057
RandomForest,test,0.6127903461456299,mean_syn_flag_cnt,0.007293927584439729,0.012015531112961905,0.39344902151245176
RandomForest,test,0.6127903461456299,mean_ack_flag_cnt,0.03435356415928672,0.05042534743288106,0.2538030025362287
RandomForest,test,0.6127903461456299,mean_rst_flag_cnt,0.041098943804476346,0.06117036202441488,0.1407628467599069
RandomForest,test,0.6127903461456299,mean_down_up_ratio,0.052956610387530134,0.08481602464016422,-0.35555294182928043
XGBoost,validation,2.9228971004486084,number_of_flows,645.9065427354947,971.2978573337474,0.853553163475236
XGBoost,validation,2.9228971004486084,total_packets,61521.8117971238,122607.9347833417,0.20216883409851438
XGBoost,validation,2.9228971004486084,total_bytes,54642518.719745226,115529294.43033068,0.28806785181761185
XGBoost,validation,2.9228971004486084,mean_flow_duration,1867632.4523784134,2852974.3594328836,0.8200731001038025
XGBoost,validation,2.9228971004486084,mean_flow_pkts_s,6148.515650964492,10091.551321852334,0.5298550581395077
XGBoost,validation,2.9228971004486084,mean_flow_byts_s,62460.537076425375,108348.8153391769,0.25307663369401134
XGBoost,validation,2.9228971004486084,mean_flow_iat_mean,1025923.9397016646,1678674.7730387887,0.25638196949879255
XGBoost,validation,2.9228971004486084,mean_flow_iat_std,178400.98359858704,279789.94309545716,0.09682378692440519
XGBoost,validation,2.9228971004486084,mean_syn_flag_cnt,0.010391148975812189,0.018529452307490382,0.4699247805145208
XGBoost,validation,2.9228971004486084,mean_ack_flag_cnt,0.04636259574159898,0.06610959079109119,0.2757375205049408
XGBoost,validation,2.9228971004486084,mean_rst_flag_cnt,0.04009396568479734,0.06118015266610928,0.19519963543205343
XGBoost,validation,2.9228971004486084,mean_down_up_ratio,0.10219309615038266,0.29707652753832753,-6.4834724657571785
XGBoost,test,2.944791793823242,number_of_flows,770.8881782531738,1190.6641243337692,0.7979395302410547
XGBoost,test,2.944791793823242,total_packets,63614.381231689455,111621.29556746589,-0.31636425412124813
XGBoost,test,2.944791793823242,total_bytes,52942592.440625,97430863.67603041,-0.2233179410604187
XGBoost,test,2.944791793823242,mean_flow_duration,1454129.0240130585,2205072.721408371,0.8211237550293331
XGBoost,test,2.944791793823242,mean_flow_pkts_s,4119.819408636531,6797.465929660095,0.44583255203162
XGBoost,test,2.944791793823242,mean_flow_byts_s,50744.54770400168,79457.1644424931,0.04127707321085605
XGBoost,test,2.944791793823242,mean_flow_iat_mean,634593.5931552794,921716.7382307859,0.5052798216947747
XGBoost,test,2.944791793823242,mean_flow_iat_std,134881.6744662703,205602.03465450017,-0.03674161838060819
XGBoost,test,2.944791793823242,mean_syn_flag_cnt,0.0067283187952535935,0.010335229094567557,0.5512323128949419
XGBoost,test,2.944791793823242,mean_ack_flag_cnt,0.034632527713947044,0.051689484567761006,0.21592049527188273
XGBoost,test,2.944791793823242,mean_rst_flag_cnt,0.042774937350258044,0.06230342012287253,0.10863675640233961
XGBoost,test,2.944791793823242,mean_down_up_ratio,0.15974151209496687,0.635509692814975,-75.10356745495842
