model,K,horizon,split,precision,recall,f1,pr_auc,roc_auc,fpr,support,normal_count,confusion_matrix,threshold,positive_rate,negative_count,cm
Persistence,5,3,train,0.9915014164305949,0.9915014164305949,0.9915014164305949,0.9870697325521849,0.9919818639941919,0.007537688442211055,751,398.0,"[[395, 3], [3, 350]]",,,,
Persistence,5,4,train,0.9886685552407932,0.9886685552407932,0.9886685552407932,0.9827917438129959,0.9893091519922559,0.010050251256281407,751,398.0,"[[394, 4], [4, 349]]",,,,
Persistence,5,5,train,0.9858356940509915,0.9858356940509915,0.9858356940509915,0.9785298052788483,0.9866364399903199,0.01256281407035176,751,398.0,"[[393, 5], [5, 348]]",,,,
Persistence,5,1,validation,0.9903846153846154,0.9903846153846154,0.9903846153846154,0.9873976341029509,0.9849882260596545,0.02040816326530612,153,49.0,"[[48, 1], [1, 103]]",,,,
Persistence,5,2,validation,0.9807692307692307,0.9807692307692307,0.9807692307692307,0.9749801794485052,0.9699764521193093,0.04081632653061224,153,49.0,"[[47, 2], [2, 102]]",,,,
Persistence,5,3,validation,0.9711538461538461,0.9711538461538461,0.9711538461538461,0.9627476360366632,0.954964678178964,0.061224489795918366,153,49.0,"[[46, 3], [3, 101]]",,,,
Persistence,5,4,validation,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9507000038674247,0.9399529042386187,0.08163265306122448,153,49.0,"[[45, 4], [4, 100]]",,,,
Persistence,5,5,validation,0.9519230769230769,0.9519230769230769,0.9519230769230769,0.9388372829407896,0.9249411302982732,0.10204081632653061,153,49.0,"[[44, 5], [5, 99]]",,,,
Persistence,5,1,test,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.9931213675213675,0.9133333333333332,0.16666666666666666,156,6.0,"[[5, 1], [1, 149]]",,,,
Persistence,5,2,test,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.986331623931624,0.8266666666666669,0.3333333333333333,156,6.0,"[[4, 2], [2, 148]]",,,,
Persistence,5,3,test,0.98,0.98,0.98,0.9796307692307692,0.74,0.5,156,6.0,"[[3, 3], [3, 147]]",,,,
Persistence,5,4,test,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9730188034188034,0.6533333333333333,0.6666666666666666,156,6.0,"[[2, 4], [4, 146]]",,,,
Persistence,5,5,test,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9664957264957265,0.5666666666666667,0.8333333333333334,156,6.0,"[[1, 5], [5, 145]]",,,,
LaggedLogisticRegression,3,1,validation,0.9139784946236559,0.8018867924528302,0.8542713567839196,0.8853506171177031,0.8365421640354255,0.16326530612244897,155,,,0.1,0.6838709677419355,49.0,"[[41, 8], [21, 85]]"
LaggedLogisticRegression,3,1,test,0.9620253164556962,1.0,0.9806451612903225,0.9854343270638922,0.6831140350877194,1.0,158,,,0.1,0.9620253164556962,6.0,"[[0, 6], [0, 152]]"
LaggedXGBoost,3,1,validation,0.97,0.9150943396226415,0.941747572815534,0.9820962655054772,0.9551405467847517,0.061224489795918366,155,,,0.2,0.6838709677419355,49.0,"[[46, 3], [9, 97]]"
LaggedXGBoost,3,1,test,0.9612903225806452,0.9802631578947368,0.9706840390879479,0.9966755080608374,0.9166666666666666,1.0,158,,,0.2,0.9620253164556962,6.0,"[[0, 6], [3, 149]]"
LaggedLogisticRegression,3,2,validation,0.8958333333333334,0.8113207547169812,0.8514851485148515,0.8528631245140255,0.8130535232961109,0.20408163265306123,155,,,0.1,0.6838709677419355,49.0,"[[39, 10], [20, 86]]"
LaggedLogisticRegression,3,2,test,0.9617834394904459,0.993421052631579,0.9773462783171522,0.9843811505458749,0.6600877192982457,1.0,158,,,0.1,0.9620253164556962,6.0,"[[0, 6], [1, 151]]"
LaggedXGBoost,3,2,validation,0.9595959595959596,0.8962264150943396,0.926829268292683,0.9631034810820592,0.9293415479399307,0.08163265306122448,155,,,0.2,0.6838709677419355,49.0,"[[45, 4], [11, 95]]"
LaggedXGBoost,3,2,test,0.9615384615384616,0.9868421052631579,0.974025974025974,0.9965678083216688,0.9144736842105263,1.0,158,,,0.2,0.9620253164556962,6.0,"[[0, 6], [2, 150]]"
LaggedLogisticRegression,3,3,validation,0.8865979381443299,0.8113207547169812,0.8472906403940886,0.8310666929472628,0.790912591451675,0.22448979591836735,155,,,0.1,0.6838709677419355,49.0,"[[38, 11], [20, 86]]"
LaggedLogisticRegression,3,3,test,0.9617834394904459,0.993421052631579,0.9773462783171522,0.9856927222689477,0.6885964912280702,1.0,158,,,0.1,0.9620253164556962,6.0,"[[0, 6], [1, 151]]"
LaggedXGBoost,3,3,validation,0.95,0.8962264150943396,0.9223300970873787,0.9443362071095944,0.9085483249903735,0.10204081632653061,155,,,0.2,0.6838709677419355,49.0,"[[44, 5], [11, 95]]"
LaggedXGBoost,3,3,test,0.9607843137254902,0.9671052631578947,0.9639344262295082,0.9975276096305942,0.9375,1.0,158,,,0.2,0.9620253164556962,6.0,"[[0, 6], [5, 147]]"
LaggedLogisticRegression,5,1,validation,0.9222222222222223,0.7980769230769231,0.8556701030927835,0.8801873458127403,0.8343799058084772,0.14285714285714285,153,,,0.1,0.6797385620915033,49.0,"[[42, 7], [21, 83]]"
LaggedLogisticRegression,5,1,test,0.9615384615384616,1.0,0.9803921568627451,0.9851371068402208,0.6811111111111111,1.0,156,,,0.1,0.9615384615384616,6.0,"[[0, 6], [0, 150]]"
LaggedXGBoost,5,1,validation,0.9693877551020408,0.9134615384615384,0.9405940594059405,0.9808724220388576,0.9546703296703297,0.061224489795918366,153,,,0.2,0.6797385620915033,49.0,"[[46, 3], [9, 95]]"
LaggedXGBoost,5,1,test,0.9607843137254902,0.98,0.9702970297029703,0.9966878165570443,0.918888888888889,1.0,156,,,0.2,0.9615384615384616,6.0,"[[0, 6], [3, 147]]"
LaggedLogisticRegression,5,2,validation,0.8924731182795699,0.7980769230769231,0.8426395939086294,0.8486854282679668,0.8112244897959184,0.20408163265306123,153,,,0.1,0.6797385620915033,49.0,"[[39, 10], [21, 83]]"
LaggedLogisticRegression,5,2,test,0.9612903225806452,0.9933333333333333,0.9770491803278688,0.9839813929541821,0.6566666666666667,1.0,156,,,0.1,0.9615384615384616,6.0,"[[0, 6], [1, 149]]"
LaggedXGBoost,5,2,validation,0.9587628865979382,0.8942307692307693,0.9253731343283582,0.95914391283771,0.9224882260596545,0.08163265306122448,153,,,0.2,0.6797385620915033,49.0,"[[45, 4], [11, 93]]"
